ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-01-06T14:15:42Z,31k4xbqhsw7unisqoe62lohjknma,ios,154275,IN,106.197.9.194,unknown,Zehen,Mitraz,Zehen,spotify:track:15Hh48XELbgkS3HQUC2hUq,,,,clickrow,trackdone,False,False,False,1673014387,False
2023-01-06T14:16:23Z,31k4xbqhsw7unisqoe62lohjknma,ios,39832,IN,106.197.9.194,unknown,Mehboob,Mitraz,Zehen,spotify:track:1rkFgJvUIf3ZWbK6CC0PD3,,,,trackdone,endplay,False,True,False,1673014542,False
2023-01-06T14:19:00Z,31k4xbqhsw7unisqoe62lohjknma,ios,156680,IN,106.197.9.194,unknown,Enna Sona,Mitraz,Enna Sona,spotify:track:3FZBGD1Dosgw8hsTtrDmTn,,,,clickrow,endplay,False,True,False,1673014583,False
2023-01-06T14:21:24Z,31k4xbqhsw7unisqoe62lohjknma,ios,140805,IN,106.197.9.194,unknown,Teri Rahaan,Mitraz,Teri Rahaan,spotify:track:0I992UALF2J87fD6FFzuM0,,,,trackdone,endplay,False,True,False,1673014741,False
2023-01-06T14:24:29Z,31k4xbqhsw7unisqoe62lohjknma,ios,168642,IN,106.197.9.194,unknown,Lage Nahi Man,Vismay Patel,Lage Nahi Man,spotify:track:6sdird6R3Bl7KXbCXpnPVy,,,,clickrow,endplay,False,True,False,1673014897,False
2023-01-06T14:30:31Z,31k4xbqhsw7unisqoe62lohjknma,ios,198000,IN,106.197.3.169,unknown,Main Toh Chala,Vismay Patel,Main Toh Chala,spotify:track:5DWEL5TPHgaLaUUh26K1Wc,,,,playbtn,endplay,False,True,False,1673015188,False
2023-01-06T14:34:19Z,31k4xbqhsw7unisqoe62lohjknma,ios,216107,IN,106.197.3.169,unknown,Dariya,Vismay Patel,Dariya,spotify:track:6pvpFQ2jaI6oXAswo3GSUW,,,,trackdone,trackdone,False,False,False,1673015432,False
2023-01-06T14:39:19Z,31k4xbqhsw7unisqoe62lohjknma,ios,240914,IN,106.197.3.169,unknown,Humse Khafa,Suzonn,Humse Khafa,spotify:track:5JbvDBWAFvOnlr53Q9cD5P,,,,trackdone,trackdone,False,False,False,1673015718,False
2023-01-06T14:40:19Z,31k4xbqhsw7unisqoe62lohjknma,ios,58325,IN,49.37.88.204,unknown,Kahan Woh Din Gaye,Dream Note,Girgit Damroo And The Good Trip,spotify:track:5udGjYNG57hYIUD61rfcGL,,,,trackdone,unexpected-exit-while-paused,False,False,False,1673015960,False
2023-01-07T07:15:17Z,31k4xbqhsw7unisqoe62lohjknma,ios,67328,IN,49.37.88.204,unknown,Kahan Woh Din Gaye,Dream Note,Girgit Damroo And The Good Trip,spotify:track:5udGjYNG57hYIUD61rfcGL,,,,appload,fwdbtn,False,True,False,1673075639,False
